boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,confidence,review_reason,evidence,text_excerpt
18481-07,"Modifica las leyes Nº 20.880, 18.575 y 18.918, para fortalecer la probidad e integridad pública en Chile",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Cultura y comunicaciones,"Economía, comercio y consumidores | Constitución y justicia",0.668,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Cultura y comunicaciones:6.00 || score_2=Economía, comercio y consumidores:6.00","ANTECEDENTES Y FUNDAMENTOS La probidad administrativa y la integridad pública constituyen principios esenciales para el adecuado funcionamiento de las instituciones democráticas. Sin embargo, la legislación vigente presenta importantes vacíos aún. En este contexto, el presente proyecto de ley tiene por objeto fortalecer el sistema de probidad e integridad pública mediante herramientas preventivas que permitan resguardar y fortalecer la imparcialidad y la probidad. a) Falta de enfoque preventivo de los conflictos de interés La actual legislación chilena que regula los conflictos de intereses, que está principalmente en la Ley N° 20.880, presenta una deficiencia estructural al concentrarse mayoritariamente en los conflictos de interés reales, lo que otorga al marco regulatorio un carácter reactivo en lugar de uno preventivo. Este enfoque se limita a sancionar situaciones donde el interés p"
18395-07,Sanciona penalmente la usura y la obtención de lucro en las contrataciones con el Estado en situaciones de emergencia o catástrofe,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.677,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:5.50 || score_2=Cultura y comunicaciones:4.50","ANTECEDENTES En los últimos años, distintas investigaciones administrativas, judiciales y periodísticas han evidenciado graves situaciones de sobreprecio, aprovechamiento abusivo y obtención desproporcionada de utilidades por parte de empresas privadas en contrataciones celebradas con órganos y servicios del Estado de Chile, particularmente en contextos de emergencia, salud pública, reconstrucción, abastecimiento básico y servicios estratégicos. La legislación chilena contempla actualmente figuras penales relacionadas con fraude al Fisco, negociación incompatible, cohecho, colusión y delitos económicos. Sin embargo, existe un vacío normativo respecto de aquellas conductas consistentes en imponer al Estado precios manifiestamente desproporcionados, abusivos o carentes de justificación económica razonable, aprovechándose de una posición dominante, de situaciones excepcionales o de limitaci"
18566-07,Dispone un sistema general de control de consumo de drogas en las autoridades que indica,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,0.677,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:5.25 || score_2=Constitución y justicia:4.00","ANTECEDENTES Y FUNDAMENTOS 1.- El ejercicio de funciones públicas exige los más altos estándares de integridad, responsabilidad y , qué duda cabe, transparencia, lo cual resulta hasta obvio toda vez que quienes adoptan decisiones públicas, administran recursos fiscales, ejercen potestades estatales o desempeñan cargos de especial relevancia institucional por lo que deben mantener una conducta compatible con la confianza que la ciudadanía deposita en ellos. 2.- El narcotráfico y el crimen organizado constituyen una amenaza directa para la seguridad pública, el Estado de Derecho y el normal funcionamiento de las instituciones democráticas y, tal como hemos visto en el último tiempo, s u expansión no depende únicamente de la producción y comercialización de drogas, sino también de su capacidad para penetrar, corromper, coaccionar o condicionar a quienes ejercen funciones públicas o adoptan "
18615-07,Establece nueva obligación de los senadores y diputados relativa a su función de representación,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.677,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:4.00 || score_2=Gobierno interior y descentralización:1.50","Boletín N° 18.615-07 Proyecto de ley, iniciado en Moción del Honorable Senador señor Lee, que establece nueva obligación de los senadores y diputados relativa a su función de representación. FUNDAMENTOS La dogmática constitucional clásica, tributaria del pensamiento revolucionario francés y de la teorización de Edmund Burke, concibió al parlamentario como un representante de la Nación toda y no de una facción o territorio específico. Esta concepción dispone que diputados y senadores actúan en representación del pueblo de la República, y pretendió abolir los mandatos imperativos del Antiguo Régimen para garantizar la deliberación libre sobre el interés general. Sin embargo, el Estado democrático moderno ha desbordado la abstracción del mandato libre puro. La representación política no se agota en el acto eleccionario ni en la votación en sala; requiere un flujo deliberativo ininterrumpido"
18535-07,Modifica el Código Civil para disponer la servidumbre legal de tránsito en casos que indica,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Transportes y telecomunicaciones,0.722,empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:8.50 || score_2=Transportes y telecomunicaciones:8.00","Idea matriz La presente moción tiene por idea matriz reforzar y agilizar la constitución de la servidumbre legal de tránsito reconocida en el Código Civil, ampliando las hipótesis en que procede en favor de los predios rurales e insulares que carecen de acceso al camino público o cuyo acceso resulta insuficiente, intermitente o peligroso para el uso y beneficio a que se encuentran destinados. Con ese único objeto se modifican los artículos 847 y 848 y se agrega un artículo 848 bis del referido cuerpo legal, con el fin de dotar a la determinación del trazado y de la indemnización de un procedimiento cierto y expedito, y de ordenar la constitución e inscripción de la servidumbre para resguardo de las partes y de los terceros. Las reglas de competencia y de procedimiento que se introducen son accesorias e instrumentales a dicha idea matriz de derecho civil, y no alteran el pago previo del v"
18353-07,Conmutación de penas,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Salud,0.731,empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:7.75 || score_2=Salud:6.00","Idea Matriz Regular la sustitución excepcional de la modalidad de cumplimiento de penas privativas de libertad por reclusión domiciliaria total respecto de personas condenadas que se encuentren en situaciones calificadas de vulnerabilidad derivadas de enfermedad terminal, dependencia severa o edad avanzada. PROYECTO DE LEY Artículo primero.- Incorpórase en el Código Procesal Penal el siguiente artículo 468 bis: “Artículo 468 bis. - Sustitución excepcional de la modalidad de cum plimiento de la pena privativa de libertad por razones humanitarias. El juez de garantía que ejerza competencia en el territorio donde la persona condenada cumpla la pena privativa de libertad podrá sustituir, excepcionalmente, la modalidad de cumplimiento de dicha pena por reclusión domiciliaria total cuando concurran razones humanitarias calificadas en los términos de este artículo. Esta sustitución no constitui"
18251-07,Modifica el artículo 445 del Código de Procedimiento Civil para establecer un régimen excepcional de inembargabilidad de la vivienda principal del deudor,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Vivienda y territorio,Constitución y justicia,0.736,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Vivienda y territorio:8.00 || score_2=Constitución y justicia:6.25","ANTECEDENTES La realidad económica de los hogares chilenos en los últimos años ha evidenciado una persistente exposición al endeudamiento, particularmente en los sectores medios y vulnerables. Si bien algunos indicadores han mostrado una leve mejora en determinados períod os, los datos oficiales permiten constatar que una parte significativa de la población continúa enfrentando condiciones de fragilidad financiera estructural. En efecto, conforme al Informe de Endeudamiento 2025 de la Comisión para el Mercado Fina nciero, la deuda mediana de los hogares alcanza los $1.680.453, mientras que la carga financiera se sitúa en torno al 11,9% del ingreso mensual, con niveles de apalancamiento cercanos a 1,9 veces el ingreso. Estos antecedentes dan cuenta de una presión con stante sobre los ingresos familiares, especialmente en contextos de inestabilidad laboral o contingencias personales.1 Por "
18580-07,"Modifica el artículo 101 de la Carta Fundamental, con el objeto de establecer la inhabilidad que indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Defensa,0.736,empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.75 || score_2=Defensa:9.75","Boletín N° 18.580-07 Proyecto de reforma constitucional, iniciado en Moción de los Honorables Senadores señor Saavedra, señoras Astudillo y Vodanovic, y señores Castro y De Urresti, que modifica el artículo 101 de la Carta Fundamental, con el objeto de establecer la inhabilidad que indica. En el Capítulo XI ""Fuerzas Armadas, de Orden y Seguridad Pública"", en su artículo 101, en su inciso tercero se indica que las Fuerzas Armadas y Carabineros, como cuerpos armados, son esencialmente obedientes y no deliberantes. Además, se establece que estas fuerzas, incluyendo a la Policía de Investigaciones y Gendarmería son profesionales, jerarquizadas y disciplinadas. En el artículo 57 de la Constitución Política se dispone que no podrán ser candidatos a diputados ni a senadores, número ""10) Los Comandantes en Jefe del Ejército, de la Armada y de la Fuerza Aérea, el General Director de Carabineros, "
18572-07,"Modifica el Código Penal, con el objeto de tipificar la incitación pública o apología a la explotación, abuso sexual o pornografía infantil, y consagrar una circunstancia agravante en el caso de que la víctima posea una condición de discapacidad o neurodivergencia",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Personas mayores y discapacidad,0.74,empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.00 || score_2=Personas mayores y discapacidad:8.00","Boletín N° 18.572-07 Proyecto de ley, iniciado en Moción d el Honorable Senador señor Bianchi, que modifica el Código Penal, con el objeto de tipificar la incitación pública o apología a la explotación, abuso sexual o pornografía infantil, y consagrar una circunstancia agravan te en el caso de que la víctima posea una condición de discapacidad o neurodivergencia. Fundamentos El ordenamiento punitivo chileno sanciona con severidad la ejecución material de las agresiones sexuales, así como la producción, facilitación y almacenamiento de material pornográfico infantil en los artículos 366 quinquies y 374 bis del Código Penal. No obstante, el análisis de la dogmática penal objetiva revela un vacío de punibilidad estructural respecto de las conductas de incitación pública y apología cuando estas se emiten de manera abierta y no logran subsumirse en las exigentes figuras de la proposición o la"
18285-05,Modifica los cuerpos legales que indica para fortalecer la publicidad y transparencia en materia de modificación presupuestaria,parlamentario,Hacienda,Hacienda,Economía y hacienda,,0.758,solo_comision_transversal,origen=Hacienda || score_1=Economía y hacienda:7.00 || score_2=Gobierno interior y descentralización:3.00,"Fundamentos Durante los primeros meses del actual gobierno, se han conocido de manera fragmentada y a través de los medios nacionales de comunicación, distintos decretos de modificación presupuestaria dictados por el Ministerio de Hacienda, con relevantes reducciones de recursos en el presupuesto de ministerios como Desarrollo Social y Familia o Justicia y Derechos Humanos, destinados a programas sociales y a financiar instituciones esenciales del Estado como Gendarmería. Estas modificaciones presupuestarias han generado preocupación por sus eventuales efectos sobre el empleo público y los equipos ejecutores, la continuidad, cobertura y funcionamiento de estas políticas y por el destino de sus usuarios. A la fecha, no es posible conocer íntegramente el contenido de estas modificaciones, los montos involucrados, el alcance de los programas afectados ni los fundamentos de las decisiones ad"
18602-07,Modifica diversos cuerpos legales para agravar las sanciones por maltrato contra animales,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.758,solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:7.75 || score_2=Gobierno interior y descentralización:4.50","FUNDAMENTOS. La legislación avanzó significativamente con la promulgación de la Ley Nº 21.020 sobre Tenencia Responsable de Mascotas y Animales de Compañía, conocida como Ley Cholito. Sin embargo, el marco penal actual sigue tratando las manifestaciones de crueldad más extrema bajo rangos de penas que habitualmente se cumplen en libertad, generando una sensación de impunidad en la ciudadanía. Esta falencia legislativa quedó dolorosamente en evidencia con el horroroso crimen ocurrido en la comuna de Marchigüe, Región de O’Higgins. En dicho sector, un canino de raza galgo fue cobardemente amarrado y ahorcado en un árbol hasta causarle la muerte. Este acto denunciado con fuerza por agrupaciones animalistas y la comunidad, no es un hecho aislado. Refleja la cruda realidad de desprecio por la vida animal que sufren especialmente los ejemplares de esta raza al término de su vida útil en activi"
18292-07,Modifica cuerpos legales que indica para fortalecer la persecución penal en materia de reincidencia,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,0.762,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:11.00 || score_2=Constitución y justicia:10.75","ANTECEDENTES La seguridad pública constituye una de las principales preocupaciones de la ciudadanía y uno de los desafíos más relevantes para el sistema penal chileno. En los últimos años, el país ha experimentado un incremento sostenido en la percepción de inseguridad asociada a delitos violentos, robos con intimidación, delitos contra la propiedad y conductas reiteradas cometidas por sujetos con amplios historiales penales. En dicho contexto, ha adquirido especial relevancia el fenómeno de la multirreincidencia delict iva, entendido como la reiteración sistemática de conductas criminales por parte de personas que ya han sido previamente condenadas por uno o más delitos. Esta situación ha provocado un creciente cuestionamiento respecto de la eficacia preventiva y disuasi va del actual sistema de determinación de penas y de las medidas cautelares aplicadas durante la persecución penal. D"
