"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"88450","15347-07","2026-03-23",0.084507,0.916129,1.58229756355286,0.751788198947906,0.917674958705902,0.333333333333333
"88451","15347-07","2026-03-23",0.2,0.903226,1.57916474342346,0.62518709897995,0.951053142547607,0.964285714285714
"88452","15347-07","2026-03-23",0.183099,0.916129,1.57158446311951,0.630901217460632,0.948055982589722,0.961538461538462
"88453","15347-07","2026-03-23",0.177305,0.909677,1.57228565216064,0.632718741893768,0.949959933757782,0.96
"88454","15347-07","2026-03-23",0.190141,0.916129,1.55753898620605,0.629939615726471,0.946385145187378,0.962962962962963
"88455","15347-07","2026-03-23",0.174825,0.922581,1.57472443580627,0.639444887638092,0.93000990152359,0.88
"88474","17474-06","2026-03-24",0.335664,0.922581,1.2819916009903,0.281991600990295,0.923540115356445,0.854166666666667
"88475","17474-06","2026-03-24",0.351562,0.825806,0.526084363460541,0.19782280921936,0.893995583057404,0.866666666666667
"88477","16487-12","2026-03-24",0.486301,0.941935,-1.58859729766846,-0.655043125152588,0.964416861534119,1
"88489","18137-05","2026-03-24",0.026786,0.722581,1.55114877223969,0.551148772239685,0.987747013568878,1
"88493","18137-05","2026-03-24",0.356643,0.922581,0.266367822885513,0.209487468004227,0.745718777179718,0.392156862745098
"88502","10634-29","2026-03-25",0.137681,0.890323,-0.319999933242798,-1,0.722515285015106,0
"88503","10634-29","2026-03-25",0.094203,0.890323,-0.440000057220459,-1,0.753672957420349,0
"88504","10634-29","2026-03-25",0.052239,0.864516,-1,-1,0.822249591350555,0
"88506","10634-29","2026-03-25",0.118881,0.922581,-0.370000004768372,-1,0.730648636817932,0
"88507","10634-29","2026-03-25",0.111888,0.922581,-0.400000095367432,-1,0.738703906536102,0
"88544","16569-25","2026-04-06",0.114286,0.903226,-0.375823825597763,0.895627856254578,0.813239693641663,0.6875
"88613","17170-07","2026-04-13",0.067797,0.76129,1.59163534641266,0.667725563049316,0.938791275024414,0.5
"88614","17170-07","2026-04-13",0.051724,0.748387,1.58847796916962,0.652111709117889,0.950949549674988,0.5
"88633","17354-37","2026-04-14",0.162963,0.870968,1.58058440685272,0.64531546831131,0.931208610534668,0.863636363636364
"88634","17690-07","2026-04-14",0.453237,0.896774,0.416687667369843,-0.195424228906631,0.869763433933258,0.904761904761905
"88646","17757-29","2026-04-15",0.262411,0.909677,-1.58455610275269,-0.846342384815216,0.869318842887878,0.72972972972973
"88647","17522-12","2026-04-15",0.388889,0.812903,-1.59470152854919,-0.726778388023376,0.953643321990967,0.959183673469388
"88648","17522-12","2026-04-15",0.421875,0.825806,-1.58248853683472,-0.616137504577637,0.983468890190125,1
"88680","18156-04","2026-04-21",0.294521,0.941935,0.257249057292938,0.370541214942932,0.726982653141022,0.511627906976744
"88681","18156-04","2026-04-21",0.5,0.954839,-1.58343148231506,-0.617084980010986,0.972407221794128,0.986486486486487
"88682","18156-04","2026-04-21",0.359712,0.896774,0.285151898860931,0.115427777171135,0.774280190467834,0.52
"88683","18156-04","2026-04-21",0.441176,0.877419,-0.552770733833313,-0.343183726072311,0.914463520050049,0.966666666666667
"88684","18156-04","2026-04-21",0.362963,0.870968,0.331561297178268,0.0525725111365318,0.817172467708588,0.63265306122449
"88685","18156-04","2026-04-21",0.426471,0.877419,-1.12262105941772,0.122621074318886,0.955954670906067,0.96551724137931
